source_country,target_country,avg_tone,positive_ratio,article_count,source
Italy,Ukraine,-2.2708,16.71,2843,api
Italy,Vietnam,-3.3,0.0,10,api
Italy,Malaysia,0.6545,61.26,191,api
Italy,Colombia,-1.4071,31.73,312,api
Italy,South Africa,-0.305,45.13,636,api
Italy,Bangladesh,-2.3404,19.15,47,api
Italy,Philippines,-0.6094,41.67,192,api
Italy,Israel,-3.2924,9.99,5348,api
Italy,Sweden,-0.5445,42.81,911,api
Italy,Norway,0.4961,55.38,1282,api
Italy,Denmark,-0.3219,44.69,584,api
Italy,Finland,-0.2194,43.04,474,api
Italy,Portugal,-0.3094,42.9,669,api
Italy,Greece,-0.4909,44.77,1157,api
Italy,Belgium,-0.1396,43.05,1461,api
Italy,Czech Republic,0.3839,50.8,435,api
Italy,Romania,-0.4596,42.73,557,api
Italy,Hungary,-1.1563,30.65,659,api
Italy,Chile,0.2888,54.66,322,api
Italy,Peru,-0.1053,52.63,247,api
Italy,New Zealand,-0.125,45.16,248,api
Italy,Iraq,-3.4608,5.37,1098,api
Italy,Qatar,-2.5957,16.88,1410,api
Italy,Singapore,0.7171,57.89,304,api
South Korea,United States,-0.7957,36.51,13414,api
South Korea,China,-1.1144,31.95,3408,api
South Korea,Russia,-2.465,16.67,714,api
South Korea,Germany,-0.6246,45.56,1047,api
South Korea,France,-0.4109,49.52,937,api
South Korea,United Kingdom,-1.4881,26.95,1551,api
South Korea,Japan,-0.6199,36.52,8589,api
South Korea,India,-2.189,25.19,1159,api
South Korea,Brazil,0.2692,49.45,364,api
South Korea,Canada,-0.7734,34.4,843,api
South Korea,Italy,0.2152,47.96,1789,api
South Korea,South Korea,-0.5795,36.5,7864,api
South Korea,Australia,-0.6922,35.88,510,api
South Korea,Spain,0.7859,69.68,808,api
South Korea,Mexico,-1.2569,29.17,288,api
South Korea,Indonesia,0.1678,52.4,292,api
South Korea,Netherlands,-0.4236,38.61,373,api
South Korea,Saudi Arabia,-2.3571,23.04,560,api
South Korea,Argentina,0.6375,55.0,80,api
South Korea,Egypt,-1.8349,18.35,109,api
South Korea,Nigeria,-2.05,25.0,20,api
South Korea,Ukraine,-3.0959,9.38,469,api
South Korea,Malaysia,0.0057,50.86,175,api
South Korea,Philippines,0.0691,49.47,376,api
South Korea,Israel,-3.9721,4.27,1758,api
South Korea,Sweden,-0.4667,33.89,180,api
South Korea,Norway,0.2732,45.9,183,api
South Korea,Finland,-1.2113,35.21,71,api
South Korea,Portugal,-0.6087,41.3,46,api
South Korea,Greece,-1.5125,23.75,80,api
South Korea,Belgium,-0.9901,32.67,101,api
South Korea,Czech Republic,-0.3832,34.58,107,api
South Korea,Hungary,-0.398,43.88,98,api
South Korea,Chile,1.22,54.0,50,api
South Korea,Peru,-0.1321,45.28,53,api
South Korea,New Zealand,0.3241,44.44,108,api
South Korea,Iraq,-3.8547,4.21,475,api
South Korea,Qatar,-3.7327,10.81,333,api
Australia,United States,-1.9658,21.21,4238,api
Australia,China,-0.7113,32.17,4115,api
Australia,Russia,-3.3214,11.14,1086,api
Australia,Germany,-0.7864,37.14,824,api
Australia,India,-1.5993,28.4,1148,api
Australia,Canada,-0.8391,37.09,1572,api
Australia,Italy,0.4877,50.82,972,api
Australia,South Korea,-1.2055,26.07,798,api
Australia,Australia,-1.2288,30.11,31813,api
Australia,Spain,-0.6043,37.29,700,api
Australia,Mexico,-1.6577,27.59,482,api
Australia,Indonesia,-0.9919,41.87,492,api
Australia,Netherlands,-0.8592,38.83,206,api
Australia,Turkey,-2.0055,20.55,365,api
Australia,Saudi Arabia,-3.185,8.33,600,api
Australia,Argentina,0.0273,52.73,220,api
Australia,Poland,-0.9381,32.74,113,api
Australia,Iran,-3.6519,4.62,3160,api
Australia,Pakistan,-4.7193,10.23,342,api
Australia,Nigeria,-3.7097,12.9,124,api
Australia,Ukraine,-3.2807,8.47,944,api
Australia,Vietnam,-1.8475,29.18,610,api
Australia,Malaysia,0.1917,55.42,240,api
Australia,Colombia,-0.7869,44.26,61,api
Australia,South Africa,-1.6261,20.75,583,api
Australia,Bangladesh,-4.2679,6.22,209,api
Australia,Philippines,-0.7111,44.94,405,api
Australia,Sweden,-0.9568,34.88,301,api
